title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Flynn dismissal a surprise? AG Barr in sync with Trump,Associated Press,"May 8, 2020",2020-05-08,WASHINGTON (AP) — President Donald Trump says he didn't know the Justice Department was planning to drop its case against his former national security ...,https://apnews.com/article/ae1ad252bb13490db2ceffc5d17b6d92,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.2732
"Donald Trump's cold, hard political calculation",CNN,"May 8, 2020",2020-05-08,"Donald Trump's cold, hard political calculation. By David Axelrod, CNN Senior Political Commentator. Updated 3:51 PM ET, Fri May 8, 2020. Trump ...",https://www.cnn.com/2020/05/07/opinions/donald-trumps-cold-hard-political-calculation-axelrod/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.2972222222222222,0.5472222222222222,-0.1027
"Trump tells allies his wearing a mask would 'send the wrong message,' make him look ridiculous",NBC News,"May 7, 2020",2020-05-07,WASHINGTON — President Donald Trump has been mask averse for weeks. Within minutes of the CDC announcing its updated mask recommendations last ...,https://www.nbcnews.com/politics/donald-trump/trump-tells-allies-his-wearing-mask-would-send-wrong-message-n1202001,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.41666666666666663,0.95,-0.6808
White House ramps up internal coronavirus measures after Trump valet tests positive,Washington Post,"May 7, 2020",2020-05-07,CNN identified the military member as one of Trump's personal valets. “We were recently notified by the White House Medical Unit that a member of the United ...,https://www.washingtonpost.com/nation/2020/05/07/coronavirus-update-us/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.07575757575757576,0.1818181818181818,0.5574
Trump's anti-China theory implodes,CNN,"May 6, 2020",2020-05-06,"Trump's anti-China theory implodes. By Jeffrey D. Sachs. Updated 7:55 AM ET, Wed May 6, 2020.",https://www.cnn.com/2020/05/05/opinions/trumps-anti-china-theory-implodes-sachs/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Trump does not wear coronavirus mask at Honeywell factory that makes masks,CNBC,"May 5, 2020",2020-05-05,"President Donald Trump did not wear a mask as a coronavirus precaution during a visit Tuesday to a Honeywell factory in Phoenix, which is making N95 masks ...",https://www.cnbc.com/2020/05/05/coronavirus-trump-does-not-wear-covid-19-mask-at-honeywell-tour.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Anthony Fauci just crushed Donald Trump's theory on the origins of the coronavirus,CNN,"on · May 5, 2020",2020-05-05,"And it's not Donald Trump. In short, Fauci's view on the origins of the disease matters a whole lot more than Trump's opinion about where it came from. Especially ...",https://www.cnn.com/2020/05/05/politics/fauci-trump-coronavirus-wuhan-lab/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.1,0.1,-0.4215
Trump says coronavirus 'bailouts' for blue states are unfair to Republicans,CNBC,"May 5, 2020",2020-05-05,"President Trump said increased federal funding to help states recover from coronavirus is unfair to Republicans, “because all the states that need help — they're ...",https://www.cnbc.com/2020/05/05/coronavirus-trump-says-blue-state-bailouts-unfair-to-republicans.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.25,0.55,-0.4767
It's an insane time for Trump to pick (another) fight with China,CNN,"th · May 4, 2020",2020-05-04,New York (CNN Business) President Donald Trump has picked the worst possible time to relaunch his trade battle with China. The coronavirus pandemic is ...,https://www.cnn.com/2020/05/01/business/trump-china-coronavirus-trade-war/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-1.0,1.0,-0.6486
Allies Doubt Trump's Coronavirus Lab Leak Claims,Foreign Policy,"May 4, 2020",2020-05-04,"Despite claims from the Trump administration of a growing consensus that COVID-19 originated from a Chinese government lab, three members of the Five Eyes ...",https://foreignpolicy.com/2020/05/04/coronavirus-lab-leak-trump-five-eyes/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.5994
Remarks by President Trump in a Fox News Virtual Town Hall,Whitehouse.gov,"May 4, 2020",2020-05-04,"Returning to Work.” Here tonight, live from the Lincoln Memorial in Washington, D.C., we are joined now by President Donald Trump. Good to see you, sir. THE ...",https://www.whitehouse.gov/briefings-statements/remarks-president-trump-fox-news-virtual-town-hall/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Trump claims intelligence officials did not raise coronavirus until late January,CNN,"May 3, 2020",2020-05-03,Trump said Sunday night that he was first briefed about coronavirus on January 23 and indicated the US intelligence agencies would be issuing a statement in the ...,https://www.cnn.com/2020/05/03/politics/trump-coronavirus-us-intelligence/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.3,0.6,0.4767
Trump administration pushing to rip global supply chains from China: officials,Reuters,"th · May 3, 2020",2020-05-03,Trump's China policy has been defined by behind-the-scenes tussles between pro-trade advisers and China hawks; now the latter say their time has come. “This ...,https://www.reuters.com/article/us-health-coronavirus-usa-china-idUSKBN22G0BZ,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Global markets recoil as Trump threatens US-China trade war,The Guardian,"May 1, 2020",2020-05-01,"Donald Trump's threats to reignite the US-China trade war over coronavirus has triggered another sell-off in global financial markets, as the economic costs of ...",https://www.theguardian.com/business/2020/may/01/global-markets-donald-trump-us-china-trade-war-coronavirus-covid-19,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.7579
Trump's tendency to deny his past statements has become more glaring during coronavirus,CNBC,"May 1, 2020",2020-05-01,"President Donald Trump answers questions at the daily coronavirus task force briefing flanked by Vice President Mike Pence at the White House in Washington, ...",https://www.cnbc.com/2020/05/01/coronavirus-trump-tendency-to-deny-past-statements-becomes-more-glaring.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.125,0.375,-0.34
Trump Gets Coronavirus Tests While Senators Wait,The New York Times,"May 1, 2020",2020-05-01,"Capitol Lacks Tests for Returning Senators While White House Tests Many in Trump's Circle. As senators prepare to return on Monday, Congress's doctor warned ...",https://www.nytimes.com/2020/05/01/us/politics/coronavirus-testing-senate-white-house.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
